UF;Municipio;Registro;Protocolo;COBRADE;Status;Populacao;DH_Mortos;DH_Feridos;DH_Enfermos;DH_Desabrigados;DH_Desalojados;DH_Desaparecidos;DH_Outros_Afetados;DM_Unidades_Habitacionais_Danificadas;DM_Unidades_Habitacionais_Destruidas;DM_Unidades_Habitacionais_Valor;DM_Instalacoes_publicas_de_saude_Danificadas;DM_Instalacoes_publicas_de_saude_Destruidas;DM_Instalacoes_publicas_de_saude_Valor;DM_Instalacoes_publicas_de_ensino_Danificadas;DM_Instalacoes_publicas_de_ensino_Destruidas;DM_Instalacoes_publicas_de_ensino_Valor;DM_Instalacoes_publicas_prestadoras_de_outros_servicos_Danificadas;DM_Instalacoes_publicas_prestadoras_de_outros_servicos_Destruidas;DM_Instalacoes_publicas_prestadoras_de_outros_servicos_Valor;DM_Instalacoes_publicas_de_uso_comunitario_Danificadas;DM_Instalacoes_publicas_de_uso_comunitario_Destruidas;DM_Instalacoes_publicas_de_uso_comunitario_Valor;DM_Obras_de_infraestrutura_publica_Danificadas;DM_Obras_de_infraestrutura_publica_Destruidas;DM_Obras_de_infraestrutura_publica_Valor;DA_Poluicao_ou_contaminacao_da_agua;DA_Poluicao_ou_contaminacao_do_ar;DA_Poluicao_ou_contaminacao_do_solo;DA_Diminuicao_ou_exaurimento_hidrico;DA_Incendios_em_parques_APAs_ou_APPs;PEPL_Assistencia_medica_saude_publica_e_atendimento_de_emergencias_medicas;PEPL_Abastecimento_de_agua_potavel;PEPL_Esgoto_de_aguas_pluviais_e_sistema_de_esgotos_sanitarios;PEPL_Sistema_de_limpeza_urbana_e_de_recolhimento_e_destinacao_do_lixo;PEPL_Sistema_de_desinfestacao_desinfeccao_do_habitat_controle_de_pragas_e_vetores;PEPL_Geracao_e_distribuicao_de_energia_eletrica;PEPL_Telecomunicacoes;PEPL_Transportes_locais_regionais_e_de_longo_curso;PEPL_Distribuicao_de_combustiveis_especialmente_os_de_uso_domestico;PEPL_Seguranca_publica;PEPL_Ensino;PEPR_Agricultura;PEPR_Pecuaria;PEPR_Industria;PEPR_Comercio;PEPR_Servicos
RS;Constantina;28/12/2020;RS-F-4305801-13215-20201225;13215 - Tempestade Local/Convectiva - Vendaval;Reconhecido;9741;0.0;0.0;0.0;0.0;4.0;0.0;200.0;50.0;0.0;100000;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;;;0;0;0;6000;0;0;0;0;0;0;0;542214,93;283,5;0;0;0
RS;Jari;29/12/2020;RS-F-4311130-13215-20201219;13215 - Tempestade Local/Convectiva - Vendaval;Registro;3575;0.0;0.0;0.0;0.0;0.0;0.0;20.0;5.0;0.0;5700;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;;;0;0;0;0;0;0;0;120;0;0;0;0;0;0;0;0
RS;Inhacora;18/12/2020;RS-F-4310413-14110-20201218;14110 - Estiagem;Reconhecido;2267;0.0;0.0;0.0;0.0;0.0;0.0;110.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;MAIS DE 20%;;0;5071,3;0;0;0;0;0;0;0;0;0;9196500;896375;0;0;0
RS;Harmonia;05/01/2021;RS-F-4309555-12300-20201215;12300 - Alagamentos;Registro;4254;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RS;Crissiumal;14/12/2020;RS-F-4306007-13215-20201213;13215 - Tempestade Local/Convectiva - Vendaval;Registro;14085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RS;Viamao;14/12/2020;RS-F-4323002-13215-20201213;13215 - Tempestade Local/Convectiva - Vendaval;Registro;239234;0.0;0.0;0.0;0.0;13.0;0.0;0.0;1.0;3.0;20000;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RS;Eldorado do Sul;21/12/2020;RS-F-4306767-13215-20201213;13215 - Tempestade Local/Convectiva - Vendaval;Registro;34335;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RS;Morro Redondo;18/12/2020;RS-F-4312450-13213-20201212;13213 - Tempestade Local/Convectiva - Granizo;Reconhecido;6231;0.0;0.0;0.0;0.0;0.0;0.0;140.0;35.0;0.0;37743,98;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;88520;59700;0;0;0
RS;Herval;18/12/2020;RS-F-4307104-13213-20201211;13213 - Tempestade Local/Convectiva - Granizo;Registro;6757;0.0;0.0;0.0;0.0;0.0;0.0;420.0;100.0;0.0;70000;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;;;0;0;0;70000;0;0;0;0;0;0;0;12794000;1500;0;0;0
RS;Piratini;14/12/2020;RS-F-4314605-13213-20201211;13213 - Tempestade Local/Convectiva - Granizo;Reconhecido;19831;0.0;0.0;0.0;0.0;0.0;0.0;500.0;111.0;0.0;157215;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;2344800;0;0;0;0
RS;Cerrito;12/12/2020;RS-F-4305124-13213-20201211;13213 - Tempestade Local/Convectiva - Granizo;Registro;6404;0.0;0.0;0.0;0.0;0.0;0.0;480.0;120.0;0.0;150000;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RS;Carlos Barbosa;15/12/2020;RS-F-4304804-13215-20201211;13215 - Tempestade Local/Convectiva - Vendaval;Registro;25193;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RS;Santa Cruz do Sul;21/12/2020;RS-F-4316808-13213-20201211;13213 - Tempestade Local/Convectiva - Granizo;Registro;118287;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
