AGREGACAO;MUNICIPIO;RECONHECIMENTO;GESTOR;TIPO;FONTE;EIXO;SUBEIXO;FINALIDADE;PAGO
Regional;REGIONAL;;DNIT;Recursos Novos;Orcamento Federal;Medidas para o Estado;Medidas para o Estado;Reconstrucao e emergencial: intervencoes emergenciais e reconstrucao de rodovias;101.269.018,09
Regional;REGIONAL;;MCID;Recursos Novos;Orcamento Federal;Medidas para o Estado;Medidas para o Estado;Trensurb: Retomada de operacao e construcao de moradias;7.155.246,55
Regional;REGIONAL;;MD;Recursos Novos;Orcamento Federal;Medidas para o Estado;Medidas para o Estado;Atendimento a emergencia: custeio de operacoes;307.359.884,64
Regional;REGIONAL;;MEC;Recursos Novos;Orcamento Federal;Medidas para o Estado;Medidas para o Estado;Fortalecimento da assistencia juridica integral e gratuita;4.800.058,34
Regional;REGIONAL;;MEC;Recursos Novos;Orcamento Federal;Medidas para o Estado;Medidas para o Estado;Suporte aos servicos de emergencia e conectividade;113.100,16
Regional;REGIONAL;;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Retomada de atividades das Universidades e Institutos Federais;1.307.758,16
Regional;REGIONAL;;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Empresas;Programa Emergencial de Acesso a Credito (PEAC);11.475.800,00
Regional;REGIONAL;;MGI;Recursos Novos;Orcamento Federal;Medidas para o Estado;Medidas para o Estado;Readequacao do Concurso Unificado e Arquivo Nacional;30.960.211,96
Regional;REGIONAL;;Ministerio Publico;Recursos Novos;Orcamento Federal;Medidas para o Estado;Medidas para o Estado;Ministerio Publico Federal e Militar;1.731.721,42
Regional;REGIONAL;;MJSP;Recursos Novos;Orcamento Federal;Medidas para o Estado;Medidas para o Estado;Acoes integradas das Policias Federal, Rodoviaria Federal e da Forca Nacional de Seguranca Publica;27.287.373,34
Regional;REGIONAL;;MMA;Recursos Novos;Orcamento Federal;Medidas para o Estado;Medidas para o Estado;Fiscalizacao e emergencia ambiental;5.078.273,96
Regional;REGIONAL;;MS;Recursos Novos;Orcamento Federal;Medidas para o Estado;Medidas para o Estado;Grupo Hospitalar Conceicao: contrato temporario por aumento demanda;44.990.238,22
Regional;REGIONAL;;Poder Judiciario;Recursos Novos;Orcamento Federal;Medidas para o Estado;Medidas para o Estado;Recuperacao de unidades da Justica Federal;1.999.762,44
Regional;REGIONAL;;Poder Judiciario;Recursos Novos;Orcamento Federal;Medidas para o Estado;Medidas para o Estado;Tribunal Regional do Trabalho;1.291.082,35
Regional;RIO GRANDE DO SUL;Estado de Calamidade Publica;MF;Recursos Novos;Orcamento Federal;Apoio as Empresas;Recursos Novos para Empresas;Apoio financeiro a pescadores artesanais e empregadas domesticas;284.988.196,00
Municipal;;;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Empresas;Programa Emergencial de Acesso a Credito (PEAC);14.132.384,75
Municipal;ACEGUA;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;9.384,00
Municipal;ACEGUA;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;234.624,00
Municipal;ACEGUA;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;7.110,00
Municipal;ACEGUA;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;8.753,00
Municipal;ACEGUA;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;156.867,00
Municipal;ACEGUA;Situacao de Emergencia;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;1.055.677,87
Municipal;ACEGUA;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;237.324,94
Municipal;ACEGUA;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Defesa Civil;Defesa Civil: resgate, resposta e reconstrucao;15.527,80
Municipal;ACEGUA;Situacao de Emergencia;MPS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao dos Beneficios Previdenciarios;1.308.270,17
Municipal;ACEGUA;Situacao de Emergencia;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;4.733,19
Municipal;ACEGUA;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;471.849,74
Municipal;ACEGUA;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;112.163,00
Municipal;ACEGUA;Situacao de Emergencia;MTE;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Seguro desemprego;66.246,00
Municipal;AGUA SANTA;Nem Emergencia / Nem Calamidade;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;4.896,00
Municipal;AGUA SANTA;Nem Emergencia / Nem Calamidade;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;173.361,00
Municipal;AGUA SANTA;Nem Emergencia / Nem Calamidade;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;12.160,00
Municipal;AGUA SANTA;Nem Emergencia / Nem Calamidade;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;232.098,00
Municipal;AGUA SANTA;Nem Emergencia / Nem Calamidade;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;115.918,00
Municipal;AGUDO;Estado de Calamidade Publica;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;11.118,00
Municipal;AGUDO;Estado de Calamidade Publica;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;618.796,00
Municipal;AGUDO;Estado de Calamidade Publica;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do BPC;385.476,00
Municipal;AGUDO;Estado de Calamidade Publica;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;47.325,00
Municipal;AGUDO;Estado de Calamidade Publica;MDS;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Assistencia Social;Seguranca alimentar e assistencia social: PAA, cestas, abrigos e parcela extra SUAS;40.000,00
Municipal;AGUDO;Estado de Calamidade Publica;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;29.778,40
Municipal;AGUDO;Estado de Calamidade Publica;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Programa Dinheiro Direto na Escola (PDDE): limpeza e reparos;83.600,00
Municipal;AGUDO;Estado de Calamidade Publica;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;706.535,00
Municipal;AGUDO;Estado de Calamidade Publica;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;4.598.452,31
Municipal;AGUDO;Estado de Calamidade Publica;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAF/PRONAMP;10.716.145,87
Municipal;AGUDO;Estado de Calamidade Publica;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;5.218.091,63
Municipal;AGUDO;Estado de Calamidade Publica;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Empresas;Programa Emergencial de Acesso a Credito (PEAC);539.000,00
Municipal;AGUDO;Estado de Calamidade Publica;MF;Recursos Novos;Orcamento Federal;Apoio as Empresas;Credito para Empresas;Credito a empresas de todos os portes via Fundo Social;202.000,00
Municipal;AGUDO;Estado de Calamidade Publica;MF;Recursos Novos;Orcamento Federal;Medidas para os Municipios;FPM;Fundo de Participacao dos Municipios (FPM);2.282.874,31
Municipal;AGUDO;Estado de Calamidade Publica;MIDR;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Auxilio Reconstrucao;265.200,00
Municipal;AGUDO;Estado de Calamidade Publica;MIDR;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Defesa Civil;Defesa Civil: resgate, resposta e reconstrucao;770.471,20
Municipal;AGUDO;Estado de Calamidade Publica;MPS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao dos Beneficios Previdenciarios;7.500.215,70
Municipal;AGUDO;Estado de Calamidade Publica;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;5.508,49
Municipal;AGUDO;Estado de Calamidade Publica;MS;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Saude;Atencao Primaria - custeio de servicos: aumento demanda;91.543,46
Municipal;AGUDO;Estado de Calamidade Publica;MS;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Saude;Vigilancia epidemiologica: rede de frios, computadores e vacinas;11.730,00
Municipal;AGUDO;Estado de Calamidade Publica;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;5.395.731,90
Municipal;AGUDO;Estado de Calamidade Publica;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;765.647,00
Municipal;AGUDO;Estado de Calamidade Publica;MTE;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Seguro desemprego;126.791,00
Municipal;AJURICABA;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;10.098,00
Municipal;AJURICABA;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;202.253,00
Municipal;AJURICABA;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;3.450,00
Municipal;AJURICABA;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;374.364,00
Municipal;AJURICABA;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAF/PRONAMP;2.870.351,48
Municipal;AJURICABA;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;1.266.200,00
Municipal;AJURICABA;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Auxilio Reconstrucao;25.500,00
Municipal;AJURICABA;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;1.547.068,26
Municipal;AJURICABA;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;382.819,00
Municipal;ALECRIM;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;2.040,00
Municipal;ALECRIM;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;310.453,00
Municipal;ALECRIM;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;12.950,00
Municipal;ALECRIM;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Programa Dinheiro Direto na Escola (PDDE): limpeza e reparos;15.200,00
Municipal;ALECRIM;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;229.531,00
Municipal;ALECRIM;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAF/PRONAMP;668.634,00
Municipal;ALECRIM;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;261.590,00
Municipal;ALECRIM;Situacao de Emergencia;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;7.898,77
Municipal;ALECRIM;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;930.813,50
Municipal;ALECRIM;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;145.569,00
Municipal;ALEGRETE;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;6.528,00
Municipal;ALEGRETE;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;2.761.807,00
Municipal;ALEGRETE;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;50.310,00
Municipal;ALEGRETE;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Assistencia Social;Seguranca alimentar e assistencia social: PAA, cestas, abrigos e parcela extra SUAS;176.000,00
Municipal;ALEGRETE;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;85.553,20
Municipal;ALEGRETE;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Programa Dinheiro Direto na Escola (PDDE): limpeza e reparos;15.200,00
Municipal;ALEGRETE;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;5.500.968,00
Municipal;ALEGRETE;Situacao de Emergencia;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;10.114.366,85
Municipal;ALEGRETE;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAF/PRONAMP;658.995,00
